2024-04-04 01:39:37.5416 | Sem_2_Lesson_4_.Form1..ctor | TRACE | Файл успешно сохранен 

2024-04-04 21:13:30.6637 | Sem_2_Lesson_4_.Form1..ctor | TRACE | Файл успешно сохранен 

2024-04-04 22:23:55.9019 | Sem_2_Lesson_4_.HotelManager..ctor | TRACE | Файл успешно сохранен 

2024-04-04 22:26:11.7914 | Sem_2_Lesson_4_.HotelManager..ctor | TRACE | Файл успешно сохранен 

2024-04-04 22:26:28.6448 | Sem_2_Lesson_4_.HotelManager..ctor | TRACE | Файл успешно сохранен 

2024-04-04 22:52:40.0249 | Sem_2_Lesson_4_.HotelManager..ctor | TRACE | Файл успешно сохранен 

2024-04-04 23:03:09.8554 | Sem_2_Lesson_4_.HotelManager..ctor | TRACE | Файл успешно сохранен 

2024-04-04 23:12:23.1427 | Sem_2_Lesson_4_.HotelManager..ctor | TRACE | Файл успешно сохранен 

2024-04-04 23:12:30.3443 | Sem_2_Lesson_4_.HotelManager..ctor | TRACE | Файл успешно сохранен 

